topic,tags
DBMS,database|sql|backend|programming|software|computer_science|tech
Software Engineering,sdlc|agile|programming|software|computer_science|tech|career
Programming Fundamentals,python|javascript|oop_basics|programming|software|computer_science|tech|algorithms
Web Development,react|nextjs|frontend|backend|fullstack|programming|software|computer_science|tech
Mobile App Development,flutter|react_native|mobile|programming|software|computer_science|tech
Java Programming,java|oop|jvm|backend|programming|software|computer_science|tech|algorithms
C Programming,c_language|pointers|low_level|programming|software|computer_science|tech|algorithms|embedded
MERN Stack,mongodb|express|react|nodejs|fullstack|frontend|backend|programming|software|computer_science|tech|web_development
Machine Learning,ml|regression|model_training|ai_ml|data|algorithms|programming|software|computer_science|tech
Computer Vision,image_processing|cnn|deep_learning|ai_ml|data|algorithms|programming|software|computer_science|tech
Cybersecurity,security|phishing|encryption|network_security|programming|software|computer_science|tech
Cloud Computing,aws|docker|kubernetes|devops|backend|programming|software|computer_science|tech
Data Analysis,excel|sql|dashboards|data|statistics|algorithms|programming|software|computer_science|tech
AI,artificial_intelligence|automation|ai_ml|data|algorithms|programming|software|computer_science|tech
Discrete Mathematics,graph_theory|set_theory|math|algorithms|programming|computer_science|tech|ioe_subject
Cryptocurrency & Web3,bitcoin|blockchain|finance|tech|programming|software|computer_science
Computer Hardware,cpu|ram|pc_building|hardware|electronics|tech|computer_science
Electronics & Circuits,ohms_law|microcontrollers|arduino|hardware|electronics|tech|engineering
Embedded Systems,firmware|rtos|iot|hardware|electronics|tech|engineering|programming|c_programming
Robotics,actuators|path_planning|ros|drones|hardware|electronics|engineering|tech|ai_ml|programming
Mechanical Engineering,cad|machine_design|manufacturing|engineering|hardware|math|physics|ioe_subject
Structural Engineering,concrete|beam_deflection|shear_force|engineering|math|physics|construction
Civil Engineering & Construction,surveying|building_codes|engineering|construction|math|ioe_subject
Electrical Engineering,circuit_analysis|power_systems|engineering|electronics|hardware|math|ioe_subject
Classical Mechanics,newtons_laws|kinematics|torque|physics|math|engineering|science|ioe_subject|neet_subject
Fluid Mechanics,bernoulli|reynolds_number|viscosity|physics|engineering|math|science
Thermodynamics,entropy|heat_engines|physics|engineering|math|science|ioe_subject
Soil Mechanics,soil_compaction|bearing_capacity|engineering|construction|science
Automobiles & EVs,engine_maintenance|ev_battery|engineering|automotive|tech
Architecture,floor_planning|sustainable_design|design|engineering|construction|creative
Architectural History,brutalism|gothic|bauhaus|history|design|culture|creative|art
Graphic Design,typography|color_theory|figma|design|creative|art
UI/UX Design,wireframing|user_research|prototyping|design|creative|programming|tech|software|web_development
Interior Design,space_planning|lighting_design|design|creative|art
Linear Algebra,matrices|eigenvalues|math|algorithms|programming|science|ioe_subject
Calculus,derivatives|integration|gradient_descent|math|science|ai_ml|ioe_subject
Probability & Stats,bayes_theorem|normal_distribution|math|data|science|ai_ml
Classical Physics,electromagnetism|optics|nuclear_physics|physics|math|science|ioe_subject|neet_subject
Astronomy & Space,stellar_evolution|black_holes|space_missions|physics|science|space
Cell Biology,mitosis|organelles|atp_synthesis|biology|science|health|neet_subject|cee_subject
Genetics,dna_replication|mendelian_laws|crispr|biology|science|health|neet_subject|cee_subject
Human Anatomy,cardiovascular_system|endocrine_glands|biology|science|health|neet_subject|cee_subject
Organic Chemistry,hydrocarbons|functional_groups|chemistry|science|neet_subject|cee_subject|ioe_subject
Environmental Science,carbon_cycle|biodiversity|environment|science|sustainability|biology
Climate & Sustainability,renewable_energy|green_tech|environment|science|sustainability
Geomorphology,plate_tectonics|rock_cycle|earth_science|science|environment
Hydrology,rainfall_runoff|groundwater|earth_science|science|environment|civil_engineering
Agronomy,soil_nutrients|crop_rotation|agriculture|science|environment
Financial Accounting,balance_sheets|cash_flow|finance|business|career
Corporate Finance,portfolio_diversification|valuation|finance|business|career
Personal Finance,budgeting|credit_score|finance|lifestyle|career
Stock Market Investing,nepse|mutual_funds|dividend_stocks|nepal|finance|business|career
Macroeconomics,gdp|inflation|fiscal_policy|economics|finance|business
Microeconomics,monopoly_pricing|oligopoly|economics|finance|business
Strategic Management,swot_analysis|market_penetration|business|career|strategy
HR Management,talent_acquisition|labor_relations|business|career
Startups & Entrepreneurship,pitch_decks|mvp_building|fundraising|business|career|tech
